Country,demand2030
angola,20294
botswana,7730
burundi,622
drc,21225
djibouti,764
egypt,455525
ethiopia,4134
kenya,20646
lesotho,1309
libya,170000
malawi,3667
mozambique,8840
namibia,5420
rwanda,788
somalia,0
southAfrica,453069
sudan,58754
southSudan,6132
swaziland,1952
tanzania,10923
uganda,9313
zambia,18003
zimbabwe,25153
