0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,2,
12,15,19,22,25,28,31,34,37,40,48,
64,76,88,99,110,121,131,141,151,160,173,
173,194,214,233,251,269,286,303,319,335,353,
323,349,377,403,429,454,477,501,523,545,570,
501,534,568,603,637,669,701,732,761,790,821,
705,747,788,830,872,912,951,988,1025,1060,1097,
928,979,1029,1077,1127,1174,1220,1265,1308,1350,1394,
1167,1228,1286,1342,1398,1454,1508,1560,1611,1660,1692,
1421,1491,1558,1623,1682,1722,1761,1798,1835,1870,1883,
1687,1737,1785,1832,1871,1888,1904,1920,1935,1950,1957,
1865,1888,1908,1927,1946,1957,1966,1974,1982,1990,1992,
1936,1955,1965,1975,1985,1991,1994,1996,1998,2000,2000,
1978,1989,1993,1996,1998,2000,2000,2000,2000,2000,2000,
1996,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
