0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
3,3,3,4,4,4,4,5,5,5,7
27,31,34,38,41,44,47,50,52,55,61
98,108,118,128,138,147,155,164,172,180,191
219,238,256,273,290,306,321,336,351,365,382
382,409,435,460,485,508,531,553,574,595,623
580,614,656,696,735,772,808,843,877,910,951
841,891,948,1006,1062,1116,1168,1218,1267,1315,1359
1174,1243,1312,1376,1435,1492,1548,1602,1654,1705,1733
1518,1592,1663,1724,1761,1797,1832,1866,1898,1930,1938
1798,1843,1887,1927,1941,1951,1961,1971,1981,1990,1991
1947,1960,1973,1985,1991,1993,1995,1997,1998,2000,2000
1992,1994,1996,1998,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
