0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
6,6,7,7,8,8,9,9,10,10,13
42,47,51,56,60,64,68,72,76,80,87
131,143,154,166,176,187,197,206,216,225,238
268,289,309,328,346,364,381,398,414,430,452
450,485,519,551,583,613,642,671,698,725,760
703,751,803,853,901,948,993,1036,1079,1120,1164
1037,1098,1163,1225,1284,1342,1398,1452,1504,1555,1590
1405,1480,1552,1607,1654,1699,1742,1784,1825,1865,1879
1723,1781,1836,1875,1894,1913,1930,1947,1964,1980,1983
1913,1936,1959,1979,1984,1987,1991,1994,1997,2000,2000
1986,1990,1995,1999,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
