0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.115450018
2.474180084,2.707388925,2.931355603,3.146944719,3.354898301,3.555858495,3.750385171,3.938969757,4.122046236,4.3,5.543101355
18.92210019,21.18006796,23.34855153,25.43592213,27.44936417,29.39509504,31.2785355,33.10444361,34.87702131,36.6,40.13330752
61.84376033,67.9180371,73.75158779,79.36693222,84.7833976,90.01770964,95.08445098,99.99642157,104.7649252,109.4,116.202154
132.3720242,143.5262765,154.2384812,164.5499916,174.4962986,184.1081156,193.412221,202.4321194,211.188568,219.7,231.3698489
230.4110081,248.9429757,266.7405138,283.872328,300.3973836,316.3667088,331.8247937,346.8106897,361.3588834,375.5,394.0404674
364.3889088,389.2409299,416.8686954,443.4630335,469.115478,493.9052421,517.9013894,541.1645406,563.7482306,585.7,613.0334629
540.9221257,573.8551043,610.5839905,649.1159492,686.2832188,722.2005695,756.968066,790.6735404,823.3945582,855.2,891.9023661
760.2295453,806.7827302,852.8314082,902.5851124,951.823362,999.4057509,1045.464842,1090.116994,1133.464963,1175.6,1217.110994
1018.342864,1079.353189,1137.94565,1196.340351,1251.44805,1304.702501,1356.25207,1406.226985,1454.742252,1501.9,1537.202199
1298.174386,1365.873647,1430.889958,1493.217658,1543.888086,1588.798795,1632.271737,1674.416737,1715.330782,1755.1,1777.74297
1564.427609,1621.122667,1675.570876,1727.982429,1769.331809,1797.924239,1825.601313,1852.432953,1878.480904,1903.8,1915.017446
1771.677574,1807.54654,1841.994004,1875.152947,1904.915888,1919.863946,1933.492877,1946.705493,1959.532201,1972,1975.828645
1898.467624,1920.198607,1937.074236,1953.318625,1968.987686,1975.902123,1980.52854,1985.013637,1989.367735,1993.6,1994.608174
1961.173808,1974.65632,1980.357921,1985.846252,1991.140202,1994.262095,1995.474494,1996.649858,1997.790893,1998.9,1999.102709
1987.26225,1993.273866,1995.107533,1996.53978,1997.921301,1998.971265,1999.214047,1999.449412,1999.677903,1999.9,1999.921479
1996.620185,1998.265302,1999.08575,1999.371531,1999.647191,1999.898101,1999.92757,1999.952422,1999.976549,2000,2000
1999.338191,1999.665406,1999.907443,1999.939109,1999.968125,1999.996166,2000,2000,2000,2000,2000
1999.931081,1999.965429,1999.998417,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
